algorithm,workload,variant,phase,entities,change_percent,work_rounds,repetition,samples,changed_entities,arithmetic_per_tick,recomputed_entities,mean_ns,median_ns,p95_ns,p99_ns,maximum_ns,throughput_per_s,cycles_per_tick,miss_100us,miss_1ms,miss_16_67ms,persistent_bytes,temporary_bytes,event_bytes,working_bytes,source_call_depth,checksum
derived_vectors,change_density,stateful_event,tick_only,64,1,16,1,2001,1,96,1,24.838,0,100,100,200,40261569.416,356.743,0,0,0,2304,0,28,2332,4,18034119760241668988
derived_vectors,change_density,tick_selective,tick_only,64,1,16,1,2001,1,96,1,163.268,200,200,200,22100,6124885.216,749.122,0,0,0,2816,0,28,2844,3,18034119760241668988
derived_vectors,change_density,stateless_full,frame_total,64,1,16,2,2001,1,6144,64,891.054,700,800,900,339800,1122265.844,2842.950,1,0,0,1536,768,0,2304,3,14319329841063989748
derived_vectors,change_density,stateful_event,frame_total,64,1,16,2,2001,1,96,1,53.073,100,100,100,200,18841807.910,312.198,0,0,0,2304,0,28,2332,4,14319329841063989748
derived_vectors,change_density,tick_selective,frame_total,64,1,16,2,2001,1,96,1,100.950,100,100,200,1100,9905940.594,492.275,0,0,0,2816,0,28,2844,3,14319329841063989748
derived_vectors,change_density,stateless_full,tick_only,64,1,16,2,2001,1,6144,64,615.692,600,600,600,21500,1624188.312,2393.893,0,0,0,1536,768,0,2304,3,14319329841063989748
derived_vectors,change_density,stateful_event,tick_only,64,1,16,2,2001,1,96,1,22.639,0,100,100,100,44172185.430,301.772,0,0,0,2304,0,28,2332,4,14319329841063989748
derived_vectors,change_density,tick_selective,tick_only,64,1,16,2,2001,1,96,1,97.651,100,100,100,200,10240532.242,493.223,0,0,0,2816,0,28,2844,3,14319329841063989748
derived_vectors,change_density,stateless_full,frame_total,64,1,16,3,2001,1,6144,64,604.998,600,600,600,22700,1652899.389,2378.918,0,0,0,1536,768,0,2304,3,1784477667966919009
derived_vectors,change_density,stateful_event,frame_total,64,1,16,3,2001,1,96,1,49.925,0,100,100,100,20030030.030,290.968,0,0,0,2304,0,28,2332,4,1784477667966919009
derived_vectors,change_density,tick_selective,frame_total,64,1,16,3,2001,1,96,1,101.249,100,100,200,200,9876604.146,483.745,0,0,0,2816,0,28,2844,3,1784477667966919009
derived_vectors,change_density,stateless_full,tick_only,64,1,16,3,2001,1,6144,64,590.505,600,600,600,10300,1693466.486,2345.367,0,0,0,1536,768,0,2304,3,1784477667966919009
derived_vectors,change_density,stateful_event,tick_only,64,1,16,3,2001,1,96,1,23.288,0,100,100,100,42939914.163,301.962,0,0,0,2304,0,28,2332,4,1784477667966919009
derived_vectors,change_density,tick_selective,tick_only,64,1,16,3,2001,1,96,1,96.902,100,100,100,200,10319752.450,501.373,0,0,0,2816,0,28,2844,3,1784477667966919009
derived_vectors,change_density,stateless_full,frame_total,64,1,16,4,2001,1,6144,64,594.553,600,600,600,10000,1681936.623,2345.367,0,0,0,1536,768,0,2304,3,9882233063531682843
derived_vectors,change_density,stateful_event,frame_total,64,1,16,4,2001,1,96,1,49.625,0,100,100,100,20151057.402,290.209,0,0,0,2304,0,28,2332,4,9882233063531682843
derived_vectors,change_density,tick_selective,frame_total,64,1,16,4,2001,1,96,1,104.848,100,100,100,9900,9537654.909,491.896,0,0,0,2816,0,28,2844,3,9882233063531682843
derived_vectors,change_density,stateless_full,tick_only,64,1,16,4,2001,1,6144,64,591.004,600,600,600,9300,1692034.500,2348.020,0,0,0,1536,768,0,2304,3,9882233063531682843
derived_vectors,change_density,stateful_event,tick_only,64,1,16,4,2001,1,96,1,23.038,0,100,100,100,43405639.913,301.582,0,0,0,2304,0,28,2332,4,9882233063531682843
derived_vectors,change_density,tick_selective,tick_only,64,1,16,4,2001,1,96,1,97.601,100,100,100,200,10245775.730,487.726,0,0,0,2816,0,28,2844,3,9882233063531682843
derived_vectors,change_density,stateless_full,frame_total,64,1,16,5,2001,1,6144,64,602.999,600,600,700,10700,1658378.916,2370.198,0,0,0,1536,768,0,2304,3,15670026853962128256
derived_vectors,change_density,stateful_event,frame_total,64,1,16,5,2001,1,96,1,49.725,0,100,100,100,20110552.764,290.209,0,0,0,2304,0,28,2332,4,15670026853962128256
derived_vectors,change_density,tick_selective,frame_total,64,1,16,5,2001,1,96,1,100.250,100,100,200,200,9975074.776,482.608,0,0,0,2816,0,28,2844,3,15670026853962128256
derived_vectors,change_density,stateless_full,tick_only,64,1,16,5,2001,1,6144,64,616.892,600,700,900,9800,1621030.460,2443.556,0,0,0,1536,768,0,2304,3,15670026853962128256
derived_vectors,change_density,stateful_event,tick_only,64,1,16,5,2001,1,96,1,24.088,0,100,100,200,41514522.822,333.996,0,0,0,2304,0,28,2332,4,15670026853962128256
derived_vectors,change_density,tick_selective,tick_only,64,1,16,5,2001,1,96,1,99.800,100,100,200,400,10020030.045,498.530,0,0,0,2816,0,28,2844,3,15670026853962128256
derived_vectors,change_density,stateless_full,frame_total,64,1,16,6,2001,1,6144,64,598.451,600,600,600,16300,1670981.211,2357.119,0,0,0,1536,768,0,2304,3,14139512561157310559
derived_vectors,change_density,stateful_event,frame_total,64,1,16,6,2001,1,96,1,49.975,0,100,100,100,20010000.000,290.399,0,0,0,2304,0,28,2332,4,14139512561157310559
derived_vectors,change_density,tick_selective,frame_total,64,1,16,6,2001,1,96,1,106.047,100,100,200,11100,9429783.223,494.929,0,0,0,2816,0,28,2844,3,14139512561157310559
derived_vectors,change_density,stateless_full,tick_only,64,1,16,6,2001,1,6144,64,604.248,600,700,800,16500,1654949.963,2399.958,0,0,0,1536,768,0,2304,3,14139512561157310559
derived_vectors,change_density,stateful_event,tick_only,64,1,16,6,2001,1,96,1,23.188,0,100,100,100,43125000.000,301.962,0,0,0,2304,0,28,2332,4,14139512561157310559
derived_vectors,change_density,tick_selective,tick_only,64,1,16,6,2001,1,96,1,100.900,100,100,100,6500,9910846.954,493.033,0,0,0,2816,0,28,2844,3,14139512561157310559
