algorithm,variant,workload,parameter,repetitions,mean_ns,mean_ci95_low_ns,mean_ci95_high_ns,median_ns,p95_ns,p99_ns,maximum_observed_ns,throughput_updates_s,cycles_per_update,deadline_1us_miss_pct,deadline_10us_miss_pct,deadline_100us_miss_pct,persistent_bytes,history_bytes,temporary_bytes,bytes_read_per_update,baseline_variant,slowdown_ratio,relative_overhead_pct
game_tick_motion,stateless_replay,entities_256,16,11,4253.217272727273,3585.720816114315,4920.71372934023,3500.0,7500.0,8800.0,5111300.0,243989.834,14636.99,88.85991058122205,1.3599105812220567,0.19560357675111772,0,55296,6144,84480,explicit_stateful,7.2726901065502005,627.2690106550201
game_tick_motion,stateless_replay,entities_256,64,11,21405.788363636366,18438.15559644237,24373.42113083036,16700.0,37000.0,59100.0,6116200.0,49565.815,62619.309,97.90482954545455,69.56676136363636,0.8877840909090909,0,202752,6144,305664,explicit_stateful,27.040472108761044,2604.0472108761046
game_tick_motion,stateless_replay,entities_256,256,11,61081.21445454546,54725.70877948035,67436.72012961056,58800.0,121500.0,132700.0,3026300.0,16512.826,224016.668,99.43181818181819,90.7315340909091,16.193181818181817,0,792576,6144,1190400,explicit_stateful,122.03380527832756,12103.380527832756
game_tick_motion,stateless_replay,entities_4096,1,11,12536.596636363636,11229.42972912954,13843.763543597732,12300.0,14200.0,36700.0,449200.0,84865.137,43573.641,100.0,85.13412816691505,0.2421758569299553,0,147456,98304,245760,explicit_stateful,0.915236851362079,-8.476314863792101
game_tick_motion,stateless_replay,entities_4096,4,11,93521.2369090909,74628.4282823831,112414.04553579871,92200.0,194300.0,400300.0,20182600.0,9712.796,324270.422,100.0,100.0,33.34575260804769,0,294912,98304,466944,explicit_stateful,1.7573092018936958,75.73092018936958
game_tick_motion,stateless_replay,entities_4096,16,11,192289.34654545455,162622.34946259443,221956.34362831467,164200.0,353200.0,405900.0,1825200.0,5895.738,636678.719,100.0,100.0,74.14772727272727,0,884736,98304,1351680,explicit_stateful,8.513078439744499,751.3078439744498
game_tick_motion,stateless_replay,entities_4096,64,11,1171836.2217272727,906476.9045462878,1437195.5389082576,945900.0,1993400.0,2573000.0,9391200.0,980.494,3569995.234,100.0,100.0,95.88068181818181,0,3244032,98304,4890624,explicit_stateful,36.367912221681834,3536.7912221681836
game_tick_motion,stateless_replay,entities_64,1,11,256.2639090909091,175.9464239203358,336.58139426148244,200.0,200.0,300.0,6437000.0,4719046.828,619.248,0.32494545454545454,0.05236363636363636,0.011345454545454546,0,2304,1536,3840,explicit_stateful,0.9913671771967154,-0.863282280328459
game_tick_motion,stateless_replay,entities_64,4,11,392.875,289.00373255851235,496.74626744148765,300.0,600.0,700.0,3072100.0,3063692.977,1227.078,0.1896363170998441,0.09307303906740814,0.020941433790166834,0,4608,1536,7296,explicit_stateful,2.35318412568248,135.31841256824802
game_tick_motion,stateless_replay,entities_64,16,11,1402.8374545454544,1187.1499639305164,1618.5249451603925,1000.0,2100.0,2600.0,2848100.0,744581.838,4296.056,49.73794063079777,0.44063079777365494,0.07653061224489796,0,13824,1536,21120,explicit_stateful,6.710760248109023,571.0760248109023
game_tick_motion,stateless_replay,entities_64,64,11,3660.6903636363636,3471.493285738966,3849.8874415337614,3500.0,7500.0,8500.0,120800.0,270032.699,13746.785,85.83984375,0.42613636363636365,0.00887784090909091,0,50688,1536,76416,explicit_stateful,29.273089829483332,2827.3089829483333
game_tick_motion,stateless_replay,entities_64,256,11,21837.659727272727,19047.05520310444,24628.264251441014,16100.0,33200.0,67200.0,2730700.0,48294.597,62780.082,96.5909090909091,68.32386363636364,1.2073863636363635,0,198144,1536,297600,explicit_stateful,100.34515389242569,9934.515389242568
pid_controller,explicit_state,continuous,1,11,4.6093636363636366,3.8385736797071988,5.380153593020074,0.0,100.0,100.0,31900.0,233229874.953,16.155,0.007,0.0026363636363636363,0.0,24,0,0,16,hidden_state,1.022382191035025,2.2382191035025034
pid_controller,hidden_state,continuous,1,11,4.508454545454546,3.831195624861501,5.1857134660475905,0.0,100.0,100.0,186500.0,227187531.948,16.524,0.004818181818181818,0.0026363636363636363,9.09090909090909e-05,24,0,0,16,,,
rolling_max,explicit_incremental,continuous,4,11,8.647,8.411486977195123,8.882513022804877,0.0,100.0,100.0,34500.0,117418597.299,32.266,0.0022727272727272726,0.0003636363636363636,0.0,96,0,0,8,hidden_incremental,0.7452674961607171,-25.473250383928292
rolling_max,explicit_incremental,continuous,16,11,12.250636363636364,10.612733169559753,13.888539557712974,0.0,100.0,100.0,822800.0,90700891.136,41.678,0.009636363636363636,0.003363636363636364,0.00045454545454545455,240,0,0,8,hidden_incremental,0.8015619981203679,-19.84380018796321
rolling_max,explicit_incremental,continuous,64,11,17.47627272727273,12.64303365265619,22.30951180188927,0.0,100.0,100.0,6402100.0,59154971.236,46.335,0.02490909090909091,0.012818181818181819,0.0017272727272727272,816,0,0,8,hidden_incremental,1.0904455058028066,9.044550580280664
rolling_max,explicit_incremental,continuous,256,11,19.32390909090909,9.283149919136479,29.364668262681704,0.0,100.0,100.0,1828500.0,63501135.083,46.224,0.020636363636363637,0.010272727272727272,0.0014545454545454545,3120,0,0,8,hidden_incremental,0.8033583654896388,-19.66416345103612
rolling_max,explicit_incremental,continuous,1024,11,19.563,10.43284415964767,28.693155840352325,0.0,100.0,100.0,1513300.0,72252595.072,46.04,0.019818181818181818,0.008272727272727272,0.0005454545454545455,12336,0,0,8,hidden_incremental,0.7534742525411325,-24.652574745886746
rolling_max,explicit_incremental,continuous,4096,11,20.422,14.518469599740058,26.325530400259943,0.0,100.0,100.0,5437600.0,54190262.01,59.99,0.021,0.010818181818181819,0.0016363636363636363,49200,0,0,8,hidden_incremental,1.0696677793067981,6.966777930679813
